Qubit,T2 (us),Prob meas 0 prep 1,Prob meas 1 prep 0,Single Qubit Gate Length (ns),x Error,sx Error,rz Error,rx Error,Gate Length (ns),cz Error,rzz Error
103,83.60434484345392,0.019775390625,0.000732421875,36,0.0002970606733332,0.0002970606733332,0,0.0002970606733332,104:68;96:68;102:68,104:0.0034665795612769945;96:0.002858065704917645;102:0.0037976369044985525,104:0.007269789583195602;96:0.0038933129313148684;102:0.006515372984144285
104,239.77129092068347,0.080810546875,0.049072265625,36,0.0002442192833538,0.0002442192833538,0,0.0002442192833538,103:68;105:68,103:0.0034665795612769945;105:0.002430189585403142,103:0.007269789583195602;105:0.002105834512138527
105,59.17661980201399,0.010498046875,0.001220703125,36,0.0002934641568158,0.0002934641568158,0,0.0002934641568158,104:68;106:68;117:68,104:0.002430189585403142;106:0.0024444136905925895;117:0.00475271609758815,104:0.002105834512138527;106:0.002942207312068984;117:0.004452936323373957
106,212.3942519045304,0.017578125,0.0107421875,36,0.0001772022103151,0.0001772022103151,0,0.0001772022103151,107:68;105:68,107:0.003574562275002524;105:0.0024444136905925895,107:0.003390571562361916;105:0.002942207312068984
107,266.08559352590987,0.020751953125,0.00390625,36,0.0002790289078822,0.0002790289078822,0,0.0002790289078822,106:68;108:68;97:68,106:0.003574562275002524;108:0.002465873725833928;97:0.0015359179646108057,106:0.003390571562361916;108:0.0021611269039339964;97:0.0009656669907393001
108,18.365230136187687,0.0380859375,0.020263671875,36,0.0004944837711656,0.0004944837711656,0,0.0004944837711656,107:68;109:68,107:0.002465873725833928;109:0.0038630059432795127,107:0.0021611269039339964;109:0.0025090423594725797
109,116.77495855161166,0.0087890625,0.00048828125,36,0.000174460824331,0.000174460824331,0,0.000174460824331,108:68;110:68;118:68,108:0.0038630059432795127;110:0.003961687853219903;118:0.005298695019827077,108:0.0025090423594725797;110:0.0031070050085640344;118:0.004143050981961882
110,168.9901004392066,0.009765625,0.010009765625,36,0.0002159933346056,0.0002159933346056,0,0.0002159933346056,109:68;111:68,109:0.003961687853219903;111:0.0022917092170011144,109:0.0031070050085640344;111:0.002735394477943992
111,97.90340087555232,0.012939453125,0.014404296875,36,0.0002134553342434,0.0002134553342434,0,0.0002134553342434,112:68;110:68;98:68,112:0.0014226143808731828;110:0.0022917092170011144;98:0.0020656990981918755,112:0.0012227304334641587;110:0.002735394477943992;98:0.0014357697988887086
112,181.08966254270976,0.01025390625,0.003173828125,36,0.0002589917619743,0.0002589917619743,0,0.0002589917619743,111:68;113:68,111:0.0014226143808731828;113:0.0015704252416779418,111:0.0012227304334641587;113:0.0036870815617978947
113,121.1111020107495,0.154296875,0.80810546875,36,1.0,1.0,0,1.0,119:68;112:68;114:68,119:1;112:0.0015704252416779418;114:1,119:1;112:0.0036870815617978947;114:1
114,188.2391867408797,0.02099609375,0.032470703125,36,0.0046282833641657,0.0046282833641657,0,0.0046282833641657,115:68;113:68,115:0.008000566640167739;113:1,115:0.0029108775360031924;113:1
115,82.17495993440626,0.012451171875,0.00390625,36,0.0001967357179224,0.0001967357179224,0,0.0001967357179224,99:68;114:68,99:0.0024719777921702324;114:0.008000566640167739,99:0.0019443196828878573;114:0.0029108775360031924
116,67.46118938052177,0.019287109375,0.006591796875,36,0.0007088226757193,0.0007088226757193,0,0.0007088226757193,101:68;121:68,101:0.0036585635372314296;121:0.002893151369808722,101:0.004226425690762564;121:0.0022850439359204666
